작성자,내용,추천수
choiStarutube,세상이 미쳐 돌아가는구나 자기자식이 저런일 당했다고하면 과연 가만히 둘것인가.. 이건.. 그냥 넘어가서는 안된다고본다 반성은 커녕 복수할 생각만하는 분리수거도 안되는 쓰레길 불에 태워없애도 모자랄판에 이게 무슨나라냐,2
user-ce8rz5cn9b,겨우 12년 후면 아직 40대일 저 짐승을 거리에 다시 풀어둔다면 누군가는 또 피해자가 될게 뻔합니다. 티비 드라마처럼 대신 복수해줄 사람도 없는 이 세상에 제발 저런 짐승이 다시는 활개치지 못하도록 꼭 감옥이란 우리에 가두어주시길.,844
user-sk7xx2xw9z,이래서 우리나라도 은밀하게 저런 쓰레기들을 처리하는 자경단이 조직되어야 합니다. 법이 보호를 못해주면 누군가는 나서야 합니다.,244
ULTRAQLO94,이런 법이 있었으면 좋겠다. 판사의 재량권은 유지하되 일정기간 동안에 일정 횟수 이상의 재범이나 2차 가해가 일어난 경우에는 본인들 멋대로 반성한다고 감경해주고 초범이라고 감경해준 판사들에게 큰 패널티가 있었으면 좋겠다. 판사들도 사람인데 실수는 할 수 있지만 그들에게 일반인과 같은 관대함을 줘서는 안된다고 본다. 그만큼 그들은 강력하고 막강한 권력을 가지고 있으니 말이다.,49
user-cl7ju8bi6z,보기만 해도 화나서 치가 떨리는데 내 친구나 가족이 될 수도 있다고 생각하니깐.... 진짜 사회에서 격리시켜야 함,1
user-oz7es3fq6h,우발적 범죄가 아닌 계획된 범죄는 고의성을 다뤄 엄중처벌의 철퇴를 가해야 합니다,536
user-zt8pe5eg1f,12년밖에 안되냐 ?? 평생 감옥에 가둬놔라,3
user-wf5mf2dd5d,딸가진 부모는 피눈물을 흘립니다. 미국이나 일본은 좀도둑도 얼굴공개를 하는데 왜 우리나라는 피해자보다 가해자의 인권을 보호하는지 알수가 없네요. 저런 흉악범은 국민들이 반드시 알아야 하는 권리가 더 크다고 생각합니다,600
user-lu5em6vc7q,피해자는 얼마나 큰 두려움에 살것이며 그 끔찍한일로 인해 얼마나 큰 고통을 받을지...피해자를 위해서라도 가해자의 형량을 더 엄중히 내려주실것을 청원드립니다 재판부의 현명한 판단 기대합니다,135
Unicorn-77,세상밖으로 나오면 안되는놈을 밖으로 다기 나오게 하는 판사 ! 진짜 벌은 당신들도 함께 받아야 한다 !,148
Gorokko,제발 다른 피해자가 나오지않게 국가에서 힘을주세요,0
user-gb1mj3ye2u,피해자분 몸과 마음이 얼른 회복되길 멀리서 응원해요 제발 가해자 20년 교도소에서 못 나오게 해주세요,146
user-oo2ys2ly7d,우리나라 법은 절대적인 피해자 중심 주의로 사건을 진행 하시길 바랍니다 그리고 피해자 분은 아무 죄가 없으니 자책하지도 말고 법이 그 놈을 단죄할 수 있고 다른 피해자가 없게 역할을 해주는 게 본인의 피해도 보상 받는 길이라 생각합니다 멘탈 잡으시길,2
yeseullee6789,와.. 진짜 너무 무섭다 저게 사람머리에서 나올 수 있는 말인가? 아 사람이 아니니까 저런 거겠지만 제발 피해자 보호해주시고 잠재적 살인마 이니 죽을때까지 절대 밖으로 나오지 못하게 해주세요,596
skham5781,남자인데 처음 저 영상을 보고 손이 덜덜덜 떨렸던 생각이 납니다. 생면부지인 남이 바도 이런데 가족이 영상을 보면 얼마나 원통하고 가슴아플까요.,67
dodo24319,법이란 이름으로 가해자를 용서하는 한국 상처와 두려움과 억울함에 죽음으로 밀려나는 피해자를 만드는 한국 자랑스럽다,128
hongofseoul,"사회악이다. 제발 심신미약,초범 등 말도안되는 이유 따위로 형량 조절하지말고 묻지마폭행의 처벌수위를 높여라. 피해자 보호를 위한 방법도 마련하고 판결해라 쫌!",1
fuckinpumpkin4220,만약 이렇게 구체적인 정보가 다 주어진상황에서 피해자보호가 안된다면 이 사회는 서로를 불신하고 심지어 피해자를 보호해줄 경찰이라 해도 경찰들을 믿지않는 양상으로 갈까 두렵습니다 꼭 피해자에게 적절한 대처를 해주시길 정말 부탁드립니다,35
user-sj9gb4cz9d,저런놈들은 사형시켜야합니다,4
lake8356,정말 속이 뒤집어진다 제발 처벌좀 강화해주세요 제발,259
user-ky1qh3dh3n,진짜 모범택시가 현실화돼면 좋겠다,237
amabilita303,저런 인간이기를 포기한 것. 욕도 아깝다. 대대손손 천벌을 받아라.,0
hsk3035,영상을 보는데도 너무 끔찍한데 피해자분께서 그때 당하신 고통이나 상처가 얼마나 크실까요. 지금도 굉장히 괴로운실거 같습니다.,56
user-oq7rg6rb4m,온 국민이 보고 있는 사건이니만큼 정확한 처벌을 요구합니다,10
user-fv1dt1mm3o,전과 18범인데 아직 저 따위 생각으로 살다니...갱생의 여지가 전혀없다. 악마는 구치소에서 평생을 노역하며 살도록 해야한다.,559
taechoclub,한국 판사들은 공감하기 힘든 판결만 계속 내놓는다. 이유가 뭘까?,773
user-rj6fq2pl5y,사회에서 영원히 격리시킬 필요성이 느껴집니다~,76
user-vv5xd9sx3k,이건 정말 말도안됩니다… 무기징역으로 가야합니다……. 정말 꼭 부탁드립니다 제발,2
whdidfmsjsjc4499,막연하게 '피해자를 보호해주세요'라고 봐야... 누가 어떻게 보호해주는건 사실상 어렵고. 법을 더 강화시켜서 가해자를 더욱더 심하게 처벌할수있게 만들어야합니다 ! 우리나라는 법에 문제가 많습니다,14
user-yf6pq9qb6h,진짜 가슴찢어진다 ... 쌩판 남이 봐도 마음아픈데 피해자 당사자와 부모 심경은 어떨까 .... 저게 사람새낀가? 저런새끼들 제발 사회에 풀어주지마세요..,402
gunhoo8476,가해자가 피해자에게 배로 때려주겠다면서 항소까지... 항소심 재판부는 형량을 배 이상 따따블로 높여주세요,391
review_father_in_law,"피해자뿐 아니라 감옥에서도 계속 협박 편지를 보냈던 전여자친구분, 그것이 알고싶다를 통해 증언했던 분들 모두 2차 피해자가 될 수 있습니다. 절대 엄벌에 처해주세요. 출소 3개월만에 범죄를 저지르는데 전혀 죄책감을 느끼지 못하는 교화가 절대 되지 않는 사람입니다",17
user-xp6rz5dh3m,돌려차기 폭행으로 12년의 삶이 통째로 뜯겨져 나갔네 ㅋㅋㅋ 분노의 결과가 자신의 인생을 처참히 낭비 시키는것만 알아두고 스스로 심장을 파괴시켜 명예롭게 자결해라,3
kwangsoonp,피해자가 가해자를 마음놓고 보복할수 있는 세상이 와야 저런 말이 안나올것....,83
kimmy8302,이런 미친 사이코를 사회랑 격리 시키는게 당연한 일인데 항상 솜방망이 처벌로 마무리된 사건에 진절머리가 난 대다수의 국민들이 제발 엄벌 해달라며 의견 내는게 맞나싶다 사법부는 도대체 왜 존재하는지 의문이다,0
user-qm8kc9wy9y,"피해자를 보호해주지도 못할망정, 가해자가 저딴말을 입밖으로 내뱉을 수 있는나라라니, 말도 안되게 어이가 없고 답답하네요.",271
user-el2wq6xt8m,제발 좀 삶을 지켜주세요.,24
user-jf8fe1yp4q,대한민국이 어찌 이런 나라냐 사람을 살리는 나라가 되주세요 제발,40
user-rj3rl1kj6d,저런 짐승보다 못한것은 제발 사회에서 영원히 격리시켜라!!제발!!이나라 판사라는 사람들아 언제까지 극악범인권만 생각하고 수호천사노릇 그만해라!!@,2
user-ll2ie2tc9w,"법의 무서움을 제발좀 보여주세요 판사님,,,",33
user-rf8gh3yf8g,어떻게 이런 일이 일어난거지...... 피해자 분은 지금 얼마나 무서울지 상상도 못하겠다......,1
user-tk6wu2tr1y,재판부의 책임이 막중하구나. 판사여 피해자를 두번죽이지 말자.,6.5천
seongwoolee3573,사회에서 격리시킬 사람 안그래도 많은데 저렇게 확정적인 사람은 좀 격리시켜야죠. 본인의 의지가 없으면 절대 갱생 안됩니다. 사람 안 변합니다,91
siahnlee3369,진짜 집에서 아들들 가정 교육 잘 시켰으면 좋겠다.,101
user-pz8ex8wd2b,확실하게 사회에서 격리시켜야합니다.,0
bard-lp5tq,반성의 기미가 안 보이는데 사회와 영원한 격리를 함으로써 많은 사람들이 안전했으면 좋겠다,9
bongko7888,저런 고의로 저지른 범죄는 사형집행 해야됩니다. 저런 놈은 콩밥도 아깝다,1
user-sw4de9td5y,저런 인간은 신상공개 해야한다. 또 다른 피해자가 나올수 있다.,1.2천
user-ie1hx8ym7d,재발 방지를 위해 피해자 보호를 강력하게 해야합니다.,48
jin8200,법은 피해자 대신 벌을 줄수 없다! 피해자가 형벌을 내리게 해야한다,55
