작성자,내용,추천수
user-lu7ud2lk3c,남의 일상을 저렇게 망치고도 뻔뻔한게 분노가 치밈..어떤 말로도 위로할 수 없지만 피해자님 제발 이겨 내실수있길 앞으로의 삶은 평안하길..ㅠㅠ 아ㅠㅠ,216
kalophonic,"가해자는 재범의 우려가 있다. 가해자를 위한 사회가 아닌, 피해자를 보호하는 사회이길 희망한다. 피해자가 보복의 두려움없이 안전하게 새 삶을 펼칠 수 있길.",9
ny-lj7ql,저 피해자분도 살고 국민들도 좀 삽시다. 저런 범죄자들이 길거리를 그냥 돌아다닌다고 생각하면 끔찍합니다,587
user-bw2nw9ql1x,빨리 신상공개 해주세요..피해자들이 억울하지 않도록 가해자들에게 무거운 벌을 주시구요.,544
user-uj4ei4lo2f,국민의 이름으로 판사에게 요구한다. 사회와 영구 격리 시켜라,730
user-ne7xc2vj1c,무서워 진짜 피해자분 얼마나 힘들지… 저런 범죄자를 사회에 풀어놓은 나라가 책임지고 보상해야한다,12
Kdm4.03,꼭 좀 제대로 된 처벌 부탁합니다 피해자를 지켜주는 사회가 되면 좋겠어요,113
rlatjdsu7614,모든 행동에 책임이 따릅니다. 제발 스스로 자신의 잘못을 인정하고 반성하고 자신이 한 행동에 재대로 된 벌량을 내려 줬으면 합니다. 19년이 아닌 피해자의 마음을 먼저 생각하고 징역을 정해 줬으면 합니다.,6
zptmxmkim1209,우리나라 사형 제도 다시 부활시켜서 저런 쓰레기를 치워야 합니다.^^,4.3천
user-jg9kk4pv1w,법정까지 나오는게 얼마나 힘들었을까 마음이 아프네요. 꼭 합당한 처벌이 이루어지길 바랍니다.,112
user-bf2vb7dm7q,보통 검찰이 구형한 것보다 재판에서는 많이 낮게 선고하던데 부디....제발...이번에는 그런 일이 없도록 해주세요 재판장님 ㅠㅠㅠ,246
youngp675,국가가 국민을 지키지못하는 모습에 가슴이 아프네요,1
ROOF16Studio,피해자분 힘내세요. 국민들이 함께 합니다!!!,176
user-px7st5zi9n,전과도 많고 그것도 죄질이 아주 불량하던데 저게 사회에 섞여들어온다면 정말 끔찍하다.,4
dazzle-mp7xw,가석방없는 무기징역 선고해야합니다.,2천
himssen5151,악랄한 범죄를 저질러 놓고도 반성의 기미조차 전혀 없다.. 법원은 수많은 국민이 지켜보고 있음을 명심하고 무겁게 엄벌해 주기 바란다.,156
byejun9112,그알 관계자여러분 진심으로 감사합니다. 우리들이 살아갈 세상 더욱 바르게 만드는데 힘써주세요.,272
user-dt1fb3md9n,저런 사회악은 도려 내야 되는데 피해자분 너무 안쓰럽네요.,2
mrmr7415,"이 사건은 피해자 측이 적극적으로 씨씨티비 찾아서 제출하고 방송에 제보하고 해서 이렇게나마 해결되는데, 방송 타지 않아도 경찰 수사가 성실하게 법원 판결이 신의있게 이루어지면 좋겠네요.",300
sso-um5vy,진짜 끔찍하다 이유없이 피해를 입은 피해자분의 마음이 어떨지 정말...,0
user-hm5sq7cl6i,답답합니다. 사형을 시켜도 피해자는 분이 안풀리고 평생 상처를 안고 살아갈텐데. 12년후 출소라니. 무엇을 위한 법입니까.,721
leehyozin,피해자를 두번 죽이지 마라. 이건 사회가 나서서 피해자를 지켜줘야 한다. 이거 그냥 넘기면 나와 우리가족도 또 다른 피해자가 될수 있다.,136
valeronking,어떻게 이런 사람을 35년 후에 풀어줄 생각을 할 수있는거지.. 너무 화가 난다.,41
jung5809,제발. 법이 무서워서라도 저런일을 못하는 세상이 되게 해 주세요,2
user-wu1tp3kc1h,사람 절대 변하지않는다! 절대 다시는 사회에 나오지못하게 해야 그나마 한여성이라도 더 구할수있다!,172
ktkice1,사회와 영구적 격리가 답이다. 저런 짐승쓰레기는 더이상 사회에 못나오게 해야함,9
user-vh5id4bj6x,사형 시켜야 합니다 반성도 없고 보복 소문이 들리니,1.2천
user-zb9ef5jl1c,피해자가 하루 빨리 고통에서 벗어날 수 있게 정당한 판결이 있길 바랍니다,41
user-gj1vj5ch3d,강력한 처벌해라,396
user-uh8zd2se9f,35년 뒤에 또 이러한 피해가 생기고 나서야 정신 차릴래? 진짜 이 나라에서 어떻게 살아가겠냐,6
user-tv5dt6mv1l,가해자에게 꼭 엄한 벌을 내려주세요 그리고 용기내주신 피해자분께 무한한 응원을 전합니다. 당국은 꼭 이분 잘 보호해주세요!!!!!,55
user-tt7hi9ib7i,"용기있게 증언하고 대응한 피해자를 응원합니다. 저 분이 더이상 고통받지 않게, 혹여라도 다른 피해자가 더 생기지 않게, 정말 이번만은 법원이 마땅한 판결을 내려주길 바랍니다.",0
user-xm8mw3rh7u,영원히 격리시켜주세요. cctv만 봐도 이렇게 소름끼치는데... 피해자를 포함해서 모든 사람들이 공포감을 느낄 것 같아요.,142
