영상제목,채널명,링크
부산 돌려차기남 이현우,카라큘라 탐정사무소,https://www.youtube.com/watch?v=LGEgRpCqi3s&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"'돌려차기남' 섬뜩 인스타…""잔인함, 행동으로 각인시켜 줄게"" / SBS / #D리포트",SBS 뉴스,https://www.youtube.com/watch?v=74-HLNsXjWo&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
'서면 돌려차기 사건' 항소심…세 번 만에 모습 드러내 / SBS / #D리포트,SBS 뉴스,https://www.youtube.com/watch?v=5oabiTzCldw&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
[실화Pick] 부산 엘리베이터 앞 무차별 폭행 CCTV 사각지대 사라진 8분 #실화탐사대 #실화On MBC221208방송,실화 On,https://www.youtube.com/watch?v=K8TvfR-aN4o&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
보복을 하시겠다고요?…이제 모두 니 정체를 안다 / SBS / 모아보는 뉴스,SBS 뉴스,https://www.youtube.com/watch?v=LhBCW55vm9w&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
[자막뉴스] '부산 서면 돌려차기' 사라진 7분의 진실..마지막 재판서 밝혀졌다 / KBS 2023.06.01.,KBS News,https://www.youtube.com/watch?v=Ae8KFPQe1jc&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"[이슈정주행] ""성범죄 피해자인데 기뻤어요"" 1년간 홀로 싸워온 피해자는 끝내 눈물을 쏟았다 / JTBC News",JTBC News,https://www.youtube.com/watch?v=DkT8nIrYAdU&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
[속보] '부산 돌려차기 사건' 가해자 항소심 징역 20년 선고..위치추적장치 20년 부착 / YTN,YTN,https://www.youtube.com/watch?v=tC7MrnMTCWk&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"[자막뉴스] ""피해자 바지, 저절로 안 풀려"" '부산 돌려차기' 반전 급물살 (2023.05.18/MBC뉴스)",MBCNEWS,https://www.youtube.com/watch?v=iqj0FoSdy2g&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"""저를 좀 살려주셨으면 좋겠어요""…'돌려차기' 피해자의 호소 / SBS / 뉴블더",SBS 뉴스,https://www.youtube.com/watch?v=mf9l70S6eYA&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"'부산 돌려차기' 가해자 반성문 공개…""나만 왜 이렇게 징역 많이 받나"" / JTBC 사건반장",JTBC News,https://www.youtube.com/watch?v=jHOnwzTrtl4&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
제2의 돌려차기?…“성폭행 하려고” 승강기 묻지마 폭행 | 뉴스A,채널A 뉴스,https://www.youtube.com/watch?v=7DeCt1FVmB4&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
부산 돌려차기 항소심서 20년 선고…강간살인미수 인정 / SBS / #D리포트,SBS 뉴스,https://www.youtube.com/watch?v=EtqqJoJkxBs&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"'부산 돌려차기' 가해자 신상 공개 유튜버 ""처벌 감수했다""  [MBN 뉴스센터]",MBN News,https://www.youtube.com/watch?v=R7She2iWTK0&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
