영상제목,채널명,링크
[자막뉴스] 이은해·조현수 무기징역 구형 ＂남편 죽이지 않았다＂ㅣ이슈픽,MBN News,https://www.youtube.com/watch?v=StdFUU7sQsY&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
"""이은해, 아직 금전에 미련 많아""…2심 이은해 '무기징역' · 조현수 '징역 30년' 유지 (현장영상) / SBS",SBS 뉴스,https://www.youtube.com/watch?v=iPvy7NoTE58&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
"'계곡 살인' 이은해·조현수 무기징역…""보험금 노린 범죄"" / SBS",SBS 뉴스,https://www.youtube.com/watch?v=24_erB03ItQ&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
"'계곡살인' 이은해 무기징역·조현수 징역 30년...""숨질 때까지 범행 했을 게 분명"" / YTN",YTN,https://www.youtube.com/watch?v=JjI2rR-0I-8&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
"또 무기징역 받은 이은해, 옥중에서 ""보험금 8억원 달라"" / JTBC 사건반장",JTBC News,https://www.youtube.com/watch?v=UBmyqzRRXgQ&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
"무기징역 이은해, 감옥에서도 ""보험금 8억 달라"" 집착 / SBS / 뉴블더",SBS 뉴스,https://www.youtube.com/watch?v=VFVMASqEDtI&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
이은해·조현수 무기징역 구형…끝까지 범행 부인 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=4O94HKyuOVI&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
"'계곡살인' 이은해 · 조현수, 오늘 2심 선고…검찰 ""작위에 의한 살인, 무기징역 선고해야"" / SBS",SBS 뉴스,https://www.youtube.com/watch?v=cQm4rSBf1rQ&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
이은해·조현수 범인도피교사 항소심도 징역 1년 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=wffQ5cdQgIY&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
‘계곡살인’ 이은해 무기징역 선고…법원 ‘간접살인’ 판단 이유는? [알쓸신법] / KBS 2022.10.27.,KBS News,https://www.youtube.com/watch?v=FTPJ8H7jKeU&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
‘계곡살인’ 무기징역 구형…검사도 눈물 흘린 까닭 | 뉴스TOP 10,채널A 뉴스TOP10,https://www.youtube.com/watch?v=jA9E88OLvss&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
"이은해 2심도 무기징역…""보험금 소송, 양심의 가책 없다"" / SBS 8뉴스",SBS 뉴스,https://www.youtube.com/watch?v=5yEL9l4wQLM&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
'계곡 살인' 이은해 무기징역...공범 조현수 '징역 30년' 1심 선고 / SBS,SBS 뉴스,https://www.youtube.com/watch?v=NVreBxBWdlY&pp=ygUQ7J207J2A7ZW0IOq1rO2YlQ%3D%3D
