영상제목,채널명,링크
이건 무기징역감 밥도둑입니다.,자취요리신 simple cooking,https://www.youtube.com/watch?v=oar0icIxOAA&pp=ygUG7KeV7Jet
"[정면승부] 테라 권도형, 국내 송환시 무기징역까지...미국보다 형량 높을수도_230626",YTN 라디오,https://www.youtube.com/watch?v=uI7Vy5kdeL4&pp=ygUG7KeV7Jet
"[1일1뉴스] '사생활 논란' 황의조, 몰카면 징역 7년…온라인엔 ""3000원 쿨거래"" / JTBC News",JTBC News,https://www.youtube.com/watch?v=MDXPbVEyKd0&pp=ygUG7KeV7Jet
영아살해 27명 절반 넘게 '집행유예'‥최고 처벌도 징역 5년 (2023.06.26/뉴스데스크/MBC),MBCNEWS,https://www.youtube.com/watch?v=KWInjnCantA&pp=ygUG7KeV7Jet
'음주 뺑소니 사망사고' 60대에 징역 5년,광주MBC뉴스,https://www.youtube.com/watch?v=lGSefxb2B34&pp=ygUG7KeV7Jet
PC방서 돈 잃자 강도 범행 저지른 40대 징역형,광주MBC뉴스,https://www.youtube.com/watch?v=IXH5waC4EzU&pp=ygUG7KeV7Jet
오타쿠발표회 ep.3 | 그를 사랑한게 죄라면 나는 무기징역이오.,세최악,https://www.youtube.com/watch?v=ew6NXA91NvE&pp=ygUG7KeV7Jet
"박대통령 영향력 확인한 탄핵주범들"" 친박 공천 딜레마에 빠졌다!! 윤석열은 박영수 구속에"" 형량 딜 치지말라"" 우리는 무기징역 원한다""",태극전사 TV,https://www.youtube.com/watch?v=q0xOzE-1pVc&pp=ygUG7KeV7Jet
"[시선집중] 애인 스마트폰 몰래 보면 형사처벌 받는다 - 황두영 작가[여기도잇슈], MBC 230627 방송",MBC 라디오 시사,https://www.youtube.com/watch?v=W3AiM25bIkk&pp=ygUG7LKY67KM
"회사 대표의 '무면허 음주 뺑소니'…직원까지 함께 처벌, 왜? / JTBC 사건반장",JTBC News,https://www.youtube.com/watch?v=8e_NrPGsfAc&pp=ygUG7LKY67KM
[뉴스외전 이슈+] 연인 휴대전화 몰래 뒤지면 형사 처벌? (2023.06.26/뉴스외전/MBC),MBCNEWS,https://www.youtube.com/watch?v=qX4zABpfPCU&pp=ygUG7LKY67KM
"""비번 알아내 애인 스마트폰 뒤지면‥형사처벌"" (2023.06.26/뉴스외전/MBC)",MBCNEWS,https://www.youtube.com/watch?v=sVUd3o_2kH0&pp=ygUG7LKY67KM
영아살해 27명 절반 넘게 '집행유예'‥최고 처벌도 징역 5년 (2023.06.26/뉴스데스크/MBC),MBCNEWS,https://www.youtube.com/watch?v=KWInjnCantA&pp=ygUG7LKY67KM
"만취 승객 또 택시기사 폭행...""안전장치 없고 처벌 약해"" / YTN",YTN,https://www.youtube.com/watch?v=ExWOLkzKbp8&pp=ygUG7LKY67KM
축구 국가대표 “휴대폰 도난”…영상 돌려봤다간 ‘형사처벌’ [잇슈 키워드] / KBS  2023.06.27.,KBS News,https://www.youtube.com/watch?v=MBvjXuxxBg8&pp=ygUG7LKY67KM
"지식재산권 침해, 어떤 처벌 받나?/ YTN 라디오",YTN 라디오,https://www.youtube.com/watch?v=1nFSxqK4viM&pp=ygUG7LKY67KM
애인 사이라도 스마트폰 비번 몰래 입력해 뒤졌다면 ‘형사처벌’ / KBS  2023.06.27.,KBS News,https://www.youtube.com/watch?v=hJ5GbYDXf8Q&pp=ygUG7LKY67KM
애인 사이라도 스마트폰 비번 몰래 입력해 뒤졌다면 ‘형사처벌’ / KBS  2023.06.26.,KBS News,https://www.youtube.com/watch?v=cZYmeM_QinM&pp=ygUG7LKY67KM
