영상제목,채널명,링크
"고 이예람 중사 부친 “특검 수사, 군 내부 개선 기회 되길” [인터뷰] / KBS  2022.06.07.",KBS News,https://www.youtube.com/watch?v=jrvta3aEEpc&pp=ygUJ7J207JiI656M
"文, 고 이예람 중사 부모 만나...정치권도 ""여성 안전·차별 금지"" / YTN",YTN,https://www.youtube.com/watch?v=54WLtSBs4ao&pp=ygUJ7J207JiI656M
"'녹취파일은 음성 아닌 기계음' 이예람 특검, 증거 위조 혐의 변호사 긴급체포 [MBN 뉴스센터]",MBN News,https://www.youtube.com/watch?v=Y-81Aq-3J94&pp=ygUJ7J207JiI656M
이예람 중사 숨진 뒤까지‥'비속어·욕설' 2차 가해 (2022.05.02/뉴스데스크/MBC),MBCNEWS,https://www.youtube.com/watch?v=sy27HGxs8-s&pp=ygUJ7J207JiI656M
'故 이예람 명예훼손·수사자료 유출' 공군 공보장교 구속영장 기각 / YTN,YTN,https://www.youtube.com/watch?v=LveQHgivxXM&pp=ygUJ7J207JiI656M
"고 이예람 사건 전익수 1심 무죄‥법원 ""부적절한 행위는 맞다"" (2023.06.29/뉴스데스크/MBC)",MBCNEWS,https://www.youtube.com/watch?v=6FoFn70RsrE&pp=ygUJ7J207JiI656M
"故 이예람 중사 특검법 통과...울먹인 국회의장 ""다시는 비극 되풀이 되지 않기를"" / YTN",YTN,https://www.youtube.com/watch?v=keRsA-le9VY&pp=ygUJ7J207JiI656M
"공군, 고 이예람 중사 순직 결정 / KBS  2023.02.11.",KBS News,https://www.youtube.com/watch?v=wc36YsGfUTY&pp=ygUJ7J207JiI656M
[뉴스라이더] 이예람 특검 100일 수사 종료...유족의 입장은? / YTN,YTN,https://www.youtube.com/watch?v=o_XSHSSisi4&pp=ygUJ7J207JiI656M
'고 이예람 중사' 특검 활동 종료‥오늘 수사 결과 발표 (2022.09.13/뉴스투데이/MBC),MBCNEWS,https://www.youtube.com/watch?v=Lj0SI2CHess&pp=ygUJ7J207JiI656M
[풀영상] 故 이예람 특검팀 100일 수사 결과 발표/9월 13일(화)/KBS,KBS News,https://www.youtube.com/watch?v=AvH5rBiT628&pp=ygUJ7J207JiI656M
"특검, '故 이예람 사건 수사 개입' 전익수에 실형 구형 / YTN",YTN,https://www.youtube.com/watch?v=3hDHQurWUL8&pp=ygUJ7J207JiI656M
공군 내 성폭력 '또' 발생…고 이예람 중사 마지막 근무지 (현장영상) / SBS,SBS 뉴스,https://www.youtube.com/watch?v=wbqeRu-FRo4&pp=ygUJ7J207JiI656M
‘고 이예람 수사 방해’ 전익수 1심 무죄…재판부 “부적절한 행위는 분명” / KBS  2023.06.29.,KBS News,https://www.youtube.com/watch?v=nfbZasS0wUs&pp=ygUJ7J207JiI656M
"군검찰, 고 이예람 중사 성추행 가해사건 상고 결정 / 연합뉴스TV (YonhapnewsTV)",연합뉴스TV,https://www.youtube.com/watch?v=N_n5KRaODJQ&pp=ygUJ7J207JiI656M
"공군, 고 이예람 중사 ‘순직’ 인정…1년 8개월 만 [9시뉴스] / KBS  2023.02.11.",KBS News,https://www.youtube.com/watch?v=EqMwDXMb_uo&pp=ygUJ7J207JiI656M
"故이예람 특검팀, 오늘 100일 수사 결과 발표 - [끝까지 LIVE] MBC 중계방송 2022년 09월 13일",MBCNEWS,https://www.youtube.com/watch?v=hoH7bGmP9kU&pp=ygUJ7J207JiI656M
"""이예람 중사, 2차 가해 당해 사망"" 특검 결론…전익수 등 8명 기소 (현장영상) / SBS",SBS 뉴스,https://www.youtube.com/watch?v=7IGvk3NYTpU&pp=ygUJ7J207JiI656M
"""이예람 중사 숨진 관사에 배정""…'공군 20비 사망 여군' 유서엔 부대 내 괴롭힘 정황 (현장영상)/ SBS",SBS 뉴스,https://www.youtube.com/watch?v=0nehq4AocBw&pp=ygUJ7J207JiI656M
[풀영상] 故이예람 중사 특검팀 수사 마무리…결과 발표 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=qjlz8KHlijc&pp=ygUJ7J207JiI656M
"'고 이예람 수사 개입' 전익수 무죄…""정당하지 않지만 처벌 불가"" / JTBC 뉴스룸",JTBC News,https://www.youtube.com/watch?v=9TpIZR2-mAg&pp=ygUJ7J207JiI656M
이예람 중사 마지막 근무부대서 또 성추행…확진자 타액 접촉 강요까지,뉴스TVCHOSUN,https://www.youtube.com/watch?v=-Tf4SDHJUNs&pp=ygUJ7J207JiI656M
"""내 딸 이름은 이예람""‥이 중사 부모 ""특검 촉구"" (2021.09.29/뉴스투데이/MBC)",MBCNEWS,https://www.youtube.com/watch?v=No8-I6ar0HY&pp=ygUJ7J207JiI656M
"공군, 고 이예람 중사 순직 결정 / SBS 8뉴스",SBS 뉴스,https://www.youtube.com/watch?v=i5_Uf9blviA&pp=ygUJ7J207JiI656M
"부실 수사자 처벌 0명, 이게 말이 되는 일입니까? / 비디오머그",비디오머그 - VIDEOMUG,https://www.youtube.com/watch?v=Ei9TH-NM5Fk&pp=ygUJ7J207JiI656M
'故이예람 중사 2차 가해' 부대 상관 징역2년 확정 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=0HRg9kjyU70&pp=ygUJ7J207JiI656M
"故 이예람 특검, 전익수 등 8명 기소...""2차 가해로 극단 선택"" / YTN",YTN,https://www.youtube.com/watch?v=g0VCqPof3II&pp=ygUJ7J207JiI656M
"故 이예람 중사 특검법, 국회 본회의 통과…재석 234명 전원 찬성",팩트TV NEWS,https://www.youtube.com/watch?v=t_s-SUvITvg&pp=ygUJ7J207JiI656M
고 이예람 중사 가해자 징역 15년 구형 / SBS,SBS 뉴스,https://www.youtube.com/watch?v=M-m89-O0LTg&pp=ygUJ7J207JiI656M
"'녹취파일은 음성 아닌 기계음' 이예람 특검, 증거 위조 혐의 변호사 긴급체포 [MBN 뉴스와이드 주말]",MBN News,https://www.youtube.com/watch?v=0AgcBUAK0jc&pp=ygUJ7J207JiI656M
[단독] 女 성폭행 하려다…만신창이 돼 병원행 / YTN,YTN,https://www.youtube.com/watch?v=6W2um1AGoC4&pp=ygUJ7J207JiI656M
고 이예람 중사 근무했던 공군부대서 여군 숨진채 발견 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=GhRpYfq4SBA&pp=ygUJ7J207JiI656M
"故 이예람 중사 1주기...장례 미룬 유족 ""특검 수사 기대"" / YTN",YTN,https://www.youtube.com/watch?v=KK9XAzl5T_s&pp=ygUJ7J207JiI656M
"'공군 성폭력 피해' 이예람 중사, 1년 8개월 만에 순직 인정 / JTBC News",JTBC News,https://www.youtube.com/watch?v=C9NdQMygBw8&pp=ygUJ7J207JiI656M
"'고 이예람 수사 개입' 전익수, 재판에서 혐의 부인 / YTN",YTN,https://www.youtube.com/watch?v=-wNvbweOI-I&pp=ygUJ7J207JiI656M
"대법, 故이예람 중사 성추행 부대선임 징역 7년 확정   / 연합뉴스 (Yonhapnews)",연합뉴스 Yonhapnews,https://www.youtube.com/watch?v=OdIFSjDZgh0&pp=ygUJ7J207JiI656M
故이예람 중사 부대서 1년 만에 또…여군 하사 숨진 채 발견 | 뉴스A,채널A 뉴스,https://www.youtube.com/watch?v=8zqVlnW8R1w&pp=ygUJ7J207JiI656M
[속보] 고 이예람 중사 근무했던 부대서 또 여군 숨져 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=hCn2XEYUXQk&pp=ygUJ7J207JiI656M
"이예람 중사 가해자 '징역 7년'…유족, 2년 감형에 충격 [MBN 뉴스7]",MBN News,https://www.youtube.com/watch?v=9rE9EC8t5Nk&pp=ygUJ7J207JiI656M
고 이예람 중사 성추행 가해자 징역 7년 확정 / SBS / #D리포트,SBS 뉴스,https://www.youtube.com/watch?v=oQeZ8ZexQiA&pp=ygUJ7J207JiI656M
故 이중사 '2차 가해' 부사관…수감 중 사망 (2021.07.26/뉴스데스크/MBC),MBCNEWS,https://www.youtube.com/watch?v=m3DYScq6wLY&pp=ygUJ7J207JiI656M
"'이예람 특검법' 불발에 울먹인 박지현, 세 번이나 ""죄송""",오마이TV,https://www.youtube.com/watch?v=S5mDPnvJ5vk&pp=ygUJ7J207JiI656M
고 이예람 중사 근무지서 '또' 성추행 사건 발생 / SBS,SBS 뉴스,https://www.youtube.com/watch?v=cmWuXLrnLU8&pp=ygUJ7J207JiI656M
"""확진자 입 맞춰라"" 고 이예람 중사 부대 또 성추행 / KBS  2022.08.02.",KBS News,https://www.youtube.com/watch?v=AZkEr1IXg2A&pp=ygUJ7J207JiI656M
"고 이예람 중사 신고 막은 공군 준위, 징역 2년 확정 / SBS",SBS 뉴스,https://www.youtube.com/watch?v=oZnpmrOeMaQ&pp=ygUJ7J207JiI656M
"고 이예람 중사 특검 출범…""진상규명에 최선"" / SBS / #D리포트",SBS 뉴스,https://www.youtube.com/watch?v=QXHN_sOM8Ic&pp=ygUJ7J207JiI656M
"[관계자외 토크금지] 친족성폭력 공소시효 10년, 피해는 평생...생존자들의 이야기",엠빅뉴스,https://www.youtube.com/watch?v=l40fQ9g4eL8&pp=ygUJ7J207JiI656M
